X,Y,Z
-3.706,40.419,672.000
-3.705,40.419,676.000
-3.705,40.419,674.000
-3.705,40.419,668.000
-3.704,40.419,667.000
-3.704,40.419,666.000
-3.704,40.419,667.000
-3.704,40.419,668.000
-3.703,40.419,670.000
-3.703,40.419,669.000
-3.703,40.419,671.000
-3.702,40.419,674.000
-3.702,40.419,677.000
-3.702,40.419,678.000
-3.706,40.419,665.000
-3.705,40.419,668.000
-3.705,40.419,668.000
-3.705,40.419,668.000
-3.704,40.419,669.000
-3.704,40.419,671.000
-3.704,40.419,670.000
-3.704,40.419,670.000
-3.703,40.419,671.000
-3.703,40.419,672.000
-3.703,40.419,674.000
-3.702,40.419,675.000
-3.702,40.419,678.000
-3.702,40.419,679.000
-3.706,40.418,665.000
-3.705,40.418,668.000
-3.705,40.418,667.000
-3.705,40.418,668.000
-3.704,40.418,670.000
-3.704,40.418,672.000
-3.704,40.418,672.000
-3.704,40.418,671.000
-3.703,40.418,671.000
-3.703,40.418,672.000
-3.703,40.418,672.000
-3.702,40.418,674.000
-3.702,40.418,677.000
-3.702,40.418,678.000
-3.706,40.418,668.000
-3.705,40.418,673.000
-3.705,40.418,673.000
-3.705,40.418,672.000
-3.704,40.418,671.000
-3.704,40.418,671.000
-3.704,40.418,669.000
-3.704,40.418,671.000
-3.703,40.418,671.000
-3.703,40.418,669.000
-3.703,40.418,668.000
-3.702,40.418,668.000
-3.702,40.418,672.000
-3.702,40.418,675.000
-3.706,40.418,671.000
-3.705,40.418,676.000
-3.705,40.418,678.000
-3.705,40.418,676.000
-3.704,40.418,673.000
-3.704,40.418,670.000
-3.704,40.418,668.000
-3.704,40.418,669.000
-3.703,40.418,669.000
-3.703,40.418,668.000
-3.703,40.418,667.000
-3.702,40.418,668.000
-3.702,40.418,669.000
-3.702,40.418,675.000
-3.706,40.417,668.000
-3.705,40.417,674.000
-3.705,40.417,676.000
-3.705,40.417,675.000
-3.704,40.417,671.000
-3.704,40.417,668.000
-3.704,40.417,667.000
-3.704,40.417,666.000
-3.703,40.417,665.000
-3.703,40.417,665.000
-3.703,40.417,667.000
-3.702,40.417,668.000
-3.702,40.417,671.000
-3.702,40.417,673.000
-3.706,40.417,662.000
-3.705,40.417,667.000
-3.705,40.417,670.000
-3.705,40.417,671.000
-3.704,40.417,669.000
-3.704,40.417,667.000
-3.704,40.417,665.000
-3.704,40.417,662.000
-3.703,40.417,662.000
-3.703,40.417,663.000
-3.703,40.417,666.000
-3.702,40.417,669.000
-3.702,40.417,669.000
-3.702,40.417,670.000
-3.706,40.417,663.000
-3.705,40.417,664.000
-3.705,40.417,666.000
-3.705,40.417,665.000
-3.704,40.417,665.000
-3.704,40.417,663.000
-3.704,40.417,661.000
-3.704,40.417,660.000
-3.703,40.417,658.000
-3.703,40.417,660.000
-3.703,40.417,664.000
-3.702,40.417,665.000
-3.702,40.417,666.000
-3.702,40.417,665.000
-3.706,40.417,664.000
-3.705,40.417,664.000
-3.705,40.417,665.000
-3.705,40.417,664.000
-3.704,40.417,662.000
-3.704,40.417,663.000
-3.704,40.417,662.000
-3.704,40.417,660.000
-3.703,40.417,659.000
-3.703,40.417,661.000
-3.703,40.417,663.000
-3.702,40.417,665.000
-3.702,40.417,665.000
-3.702,40.417,666.000
-3.706,40.416,665.000
-3.705,40.416,665.000
-3.705,40.416,666.000
-3.705,40.416,666.000
-3.704,40.416,665.000
-3.704,40.416,664.000
-3.704,40.416,663.000
-3.704,40.416,663.000
-3.703,40.416,664.000
-3.703,40.416,667.000
-3.703,40.416,667.000
-3.702,40.416,666.000
-3.702,40.416,667.000
-3.702,40.416,668.000
-3.706,40.416,665.000
-3.705,40.416,665.000
-3.705,40.416,666.000
-3.705,40.416,665.000
-3.704,40.416,664.000
-3.704,40.416,663.000
-3.704,40.416,662.000
-3.704,40.416,662.000
-3.703,40.416,665.000
-3.703,40.416,668.000
-3.703,40.416,668.000
-3.702,40.416,667.000
-3.702,40.416,668.000
-3.702,40.416,668.000
-3.706,40.416,666.000
-3.705,40.416,666.000
-3.705,40.416,667.000
-3.705,40.416,667.000
-3.704,40.416,665.000
-3.704,40.416,664.000
-3.704,40.416,663.000
-3.704,40.416,663.000
-3.703,40.416,664.000
-3.703,40.416,666.000
-3.703,40.416,667.000
-3.702,40.416,669.000
-3.702,40.416,672.000
-3.702,40.416,672.000
-3.706,40.416,667.000
-3.705,40.416,669.000
-3.705,40.416,670.000
-3.705,40.416,671.000
-3.704,40.416,670.000
-3.704,40.416,667.000
-3.704,40.416,666.000
-3.704,40.416,666.000
-3.703,40.416,667.000
-3.703,40.416,666.000
-3.703,40.416,666.000
-3.702,40.416,670.000
-3.702,40.416,672.000
-3.702,40.416,674.000
-3.706,40.415,667.000
-3.705,40.415,668.000
-3.705,40.415,669.000
-3.705,40.415,671.000
-3.704,40.415,670.000
-3.704,40.415,669.000
-3.704,40.415,667.000
-3.704,40.415,669.000
-3.703,40.415,671.000
-3.703,40.415,669.000
-3.703,40.415,669.000
-3.702,40.415,669.000
-3.702,40.415,670.000
-3.702,40.415,672.000
