X,Y,Z
-4.070000,36.763333,54.000
-4.069722,36.763333,54.000
-4.069444,36.763333,54.000
-4.069167,36.763333,54.000
-4.068889,36.763333,54.000
-4.068611,36.763333,55.000
-4.068333,36.763333,55.000
-4.068056,36.763333,55.000
-4.067778,36.763333,56.000
-4.067500,36.763333,56.000
-4.067222,36.763333,56.000
-4.066944,36.763333,57.000
-4.066667,36.763333,57.000
-4.066389,36.763333,57.000
-4.066111,36.763333,58.000
-4.065833,36.763333,58.000
-4.065556,36.763333,58.000
-4.065278,36.763333,59.000
-4.065000,36.763333,59.000
-4.064722,36.763333,59.000
-4.064444,36.763333,60.000
-4.064167,36.763333,60.000
-4.063889,36.763333,60.000
-4.063611,36.763333,61.000
-4.063333,36.763333,61.000
-4.063056,36.763333,61.000
-4.062778,36.763333,62.000
-4.062500,36.763333,62.000
-4.062222,36.763333,62.000
-4.061944,36.763333,63.000
-4.061667,36.763333,63.000
-4.061389,36.763333,64.000
-4.061111,36.763333,64.000
-4.060833,36.763333,65.000
-4.060556,36.763333,65.000
-4.060278,36.763333,66.000
-4.060000,36.763333,66.000
-4.059722,36.763333,66.000
-4.059444,36.763333,67.000
-4.059167,36.763333,67.000
-4.058889,36.763333,67.000
-4.058611,36.763333,67.000
-4.058333,36.763333,67.000
-4.058056,36.763333,68.000
-4.057778,36.763333,68.000
-4.057500,36.763333,68.000
-4.057222,36.763333,68.000
-4.056944,36.763333,68.000
-4.056667,36.763333,68.000
-4.056389,36.763333,69.000
-4.056111,36.763333,69.000
-4.055833,36.763333,69.000
-4.055556,36.763333,69.000
-4.055278,36.763333,69.000
-4.055000,36.763333,70.000
-4.054722,36.763333,70.000
-4.054444,36.763333,70.000
-4.054167,36.763333,71.000
-4.053889,36.763333,71.000
-4.053611,36.763333,71.000
-4.053333,36.763333,72.000
-4.053056,36.763333,72.000
-4.052778,36.763333,72.000
-4.052500,36.763333,73.000
-4.052222,36.763333,73.000
-4.051944,36.763333,73.000
-4.051667,36.763333,73.000
-4.051389,36.763333,73.000
-4.051111,36.763333,74.000
-4.050833,36.763333,74.000
-4.050556,36.763333,74.000
-4.050278,36.763333,74.000
-4.050000,36.763333,74.000
-4.049722,36.763333,74.000
-4.049444,36.763333,75.000
-4.049167,36.763333,75.000
-4.048889,36.763333,75.000
-4.048611,36.763333,75.000
-4.048333,36.763333,75.000
-4.048056,36.763333,75.000
-4.070000,36.763056,54.000
-4.069722,36.763056,54.000
-4.069444,36.763056,54.000
-4.069167,36.763056,54.000
-4.068889,36.763056,54.000
-4.068611,36.763056,55.000
-4.068333,36.763056,55.000
-4.068056,36.763056,55.000
-4.067778,36.763056,56.000
-4.067500,36.763056,56.000
-4.067222,36.763056,56.000
-4.066944,36.763056,57.000
-4.066667,36.763056,57.000
-4.066389,36.763056,57.000
-4.066111,36.763056,58.000
-4.065833,36.763056,58.000
-4.065556,36.763056,58.000
-4.065278,36.763056,59.000
-4.065000,36.763056,59.000
-4.064722,36.763056,59.000
-4.064444,36.763056,60.000
-4.064167,36.763056,60.000
-4.063889,36.763056,60.000
-4.063611,36.763056,61.000
-4.063333,36.763056,61.000
-4.063056,36.763056,61.000
-4.062778,36.763056,62.000
-4.062500,36.763056,62.000
-4.062222,36.763056,62.000
-4.061944,36.763056,63.000
-4.061667,36.763056,63.000
-4.061389,36.763056,64.000
-4.061111,36.763056,64.000
-4.060833,36.763056,65.000
-4.060556,36.763056,65.000
-4.060278,36.763056,66.000
-4.060000,36.763056,66.000
-4.059722,36.763056,66.000
-4.059444,36.763056,67.000
-4.059167,36.763056,67.000
-4.058889,36.763056,67.000
-4.058611,36.763056,67.000
-4.058333,36.763056,67.000
-4.058056,36.763056,68.000
-4.057778,36.763056,68.000
-4.057500,36.763056,68.000
-4.057222,36.763056,68.000
-4.056944,36.763056,68.000
-4.056667,36.763056,68.000
-4.056389,36.763056,69.000
-4.056111,36.763056,69.000
-4.055833,36.763056,69.000
-4.055556,36.763056,69.000
-4.055278,36.763056,69.000
-4.055000,36.763056,70.000
-4.054722,36.763056,70.000
-4.054444,36.763056,70.000
-4.054167,36.763056,71.000
-4.053889,36.763056,71.000
-4.053611,36.763056,71.000
-4.053333,36.763056,72.000
-4.053056,36.763056,72.000
-4.052778,36.763056,72.000
-4.052500,36.763056,73.000
-4.052222,36.763056,73.000
-4.051944,36.763056,73.000
-4.051667,36.763056,73.000
-4.051389,36.763056,73.000
-4.051111,36.763056,74.000
-4.050833,36.763056,74.000
-4.050556,36.763056,74.000
-4.050278,36.763056,74.000
-4.050000,36.763056,74.000
-4.049722,36.763056,74.000
-4.049444,36.763056,75.000
-4.049167,36.763056,75.000
-4.048889,36.763056,75.000
-4.048611,36.763056,75.000
-4.048333,36.763056,75.000
-4.048056,36.763056,75.000
-4.070000,36.762778,54.000
-4.069722,36.762778,54.000
-4.069444,36.762778,54.000
-4.069167,36.762778,54.000
-4.068889,36.762778,54.000
-4.068611,36.762778,55.000
-4.068333,36.762778,55.000
-4.068056,36.762778,55.000
-4.067778,36.762778,56.000
-4.067500,36.762778,56.000
-4.067222,36.762778,56.000
-4.066944,36.762778,57.000
-4.066667,36.762778,57.000
-4.066389,36.762778,57.000
-4.066111,36.762778,58.000
-4.065833,36.762778,58.000
-4.065556,36.762778,58.000
-4.065278,36.762778,59.000
-4.065000,36.762778,59.000
-4.064722,36.762778,59.000
-4.064444,36.762778,60.000
-4.064167,36.762778,60.000
-4.063889,36.762778,60.000
-4.063611,36.762778,61.000
-4.063333,36.762778,61.000
-4.063056,36.762778,61.000
-4.062778,36.762778,62.000
-4.062500,36.762778,62.000
-4.062222,36.762778,62.000
-4.061944,36.762778,63.000
-4.061667,36.762778,63.000
-4.061389,36.762778,64.000
-4.061111,36.762778,64.000
-4.060833,36.762778,65.000
-4.060556,36.762778,65.000
-4.060278,36.762778,66.000
-4.060000,36.762778,66.000
-4.059722,36.762778,66.000
-4.059444,36.762778,67.000
-4.059167,36.762778,67.000
-4.058889,36.762778,67.000
-4.058611,36.762778,67.000
-4.058333,36.762778,67.000
-4.058056,36.762778,68.000
-4.057778,36.762778,68.000
-4.057500,36.762778,68.000
-4.057222,36.762778,68.000
-4.056944,36.762778,68.000
-4.056667,36.762778,68.000
-4.056389,36.762778,69.000
-4.056111,36.762778,69.000
-4.055833,36.762778,69.000
-4.055556,36.762778,69.000
-4.055278,36.762778,69.000
-4.055000,36.762778,70.000
-4.054722,36.762778,70.000
-4.054444,36.762778,70.000
-4.054167,36.762778,71.000
-4.053889,36.762778,71.000
-4.053611,36.762778,71.000
-4.053333,36.762778,72.000
-4.053056,36.762778,72.000
-4.052778,36.762778,72.000
-4.052500,36.762778,73.000
-4.052222,36.762778,73.000
-4.051944,36.762778,73.000
-4.051667,36.762778,73.000
-4.051389,36.762778,73.000
-4.051111,36.762778,74.000
-4.050833,36.762778,74.000
-4.050556,36.762778,74.000
-4.050278,36.762778,74.000
-4.050000,36.762778,74.000
-4.049722,36.762778,74.000
-4.049444,36.762778,75.000
-4.049167,36.762778,75.000
-4.048889,36.762778,75.000
-4.048611,36.762778,75.000
-4.048333,36.762778,75.000
-4.048056,36.762778,75.000
-4.070000,36.762500,54.000
-4.069722,36.762500,54.000
-4.069444,36.762500,54.000
-4.069167,36.762500,54.000
-4.068889,36.762500,55.000
-4.068611,36.762500,55.000
-4.068333,36.762500,55.000
-4.068056,36.762500,56.000
-4.067778,36.762500,56.000
-4.067500,36.762500,56.000
-4.067222,36.762500,57.000
-4.066944,36.762500,57.000
-4.066667,36.762500,57.000
-4.066389,36.762500,58.000
-4.066111,36.762500,58.000
-4.065833,36.762500,58.000
-4.065556,36.762500,59.000
-4.065278,36.762500,59.000
-4.065000,36.762500,59.000
-4.064722,36.762500,60.000
-4.064444,36.762500,60.000
-4.064167,36.762500,60.000
-4.063889,36.762500,61.000
-4.063611,36.762500,61.000
-4.063333,36.762500,61.000
-4.063056,36.762500,62.000
-4.062778,36.762500,62.000
-4.062500,36.762500,62.000
-4.062222,36.762500,63.000
-4.061944,36.762500,63.000
-4.061667,36.762500,64.000
-4.061389,36.762500,64.000
-4.061111,36.762500,65.000
-4.060833,36.762500,65.000
-4.060556,36.762500,65.000
-4.060278,36.762500,66.000
-4.060000,36.762500,66.000
-4.059722,36.762500,66.000
-4.059444,36.762500,67.000
-4.059167,36.762500,67.000
